Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,Link,Reviews,Business Hours,Number of Reviews
Moonshine 152,,152 Dorchester Ave,,,,$$,4.4,https://www.yelp.com/biz/moonshine-152-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Tuesday: 05:00 PM - 10:00 PM; Wednesday: 05:00 PM - 10:00 PM; Thursday: 05:00 PM - 10:00 PM; Friday: 05:00 PM - 11:00 PM; Saturday: 11:30 AM - 11:00 PM; Sunday: 11:30 AM - 10:00 PM,0
French Quarter,,545 Washington St,,,,$$,4.1,https://www.yelp.com/biz/french-quarter-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 05:00 PM - 09:00 PM; Tuesday: 05:00 PM - 09:00 PM; Wednesday: 05:00 PM - 09:00 PM; Thursday: 05:00 PM - 10:00 PM; Friday: 11:30 AM - 11:00 PM; Saturday: 11:30 AM - 11:00 PM; Sunday: 11:30 AM - 08:00 PM,0
The Salty Pig,,130 Dartmouth St,,,,$$,4.2,https://www.yelp.com/biz/the-salty-pig-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 10:00 PM; Tuesday: 11:30 AM - 10:00 PM; Wednesday: 11:30 AM - 10:00 PM; Thursday: 11:30 AM - 10:00 PM; Friday: 11:30 AM - 10:30 PM; Saturday: 11:30 AM - 10:30 PM; Sunday: 11:30 AM - 10:00 PM,0
Trattoria Il Panino,,11 Parmenter St,,,,$$,3.9,https://www.yelp.com/biz/trattoria-il-panino-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 11:00 PM; Tuesday: 11:00 AM - 11:00 PM; Wednesday: 11:00 AM - 11:00 PM; Thursday: 11:00 AM - 11:00 PM; Friday: 11:00 AM - 02:00 AM; Saturday: 11:00 AM - 02:00 AM; Sunday: 11:00 AM - 11:00 PM,0
Flour Bakery + Café,,12 Farnsworth St,,,,$$,4.3,https://www.yelp.com/biz/flour-bakery-caf%C3%A9-boston-4?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 07:00 AM - 07:00 PM; Tuesday: 07:00 AM - 07:00 PM; Wednesday: 07:00 AM - 07:00 PM; Thursday: 07:00 AM - 07:00 PM; Friday: 07:00 AM - 07:00 PM; Saturday: 08:00 AM - 06:00 PM; Sunday: 08:00 AM - 06:00 PM,0
Mamma Maria,,3 North Sq,,,,$$$,4.3,https://www.yelp.com/biz/mamma-maria-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 05:00 PM - 09:15 PM; Tuesday: 05:00 PM - 09:15 PM; Wednesday: 05:00 PM - 09:15 PM; Thursday: 05:00 PM - 09:15 PM; Friday: 04:30 PM - 09:30 PM; Saturday: 04:30 PM - 09:30 PM; Sunday: 04:30 PM - 09:30 PM,0
Ma Maison,,272 Cambridge St,,,,$$,4.5,https://www.yelp.com/biz/ma-maison-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 10:00 PM; Tuesday: 11:00 AM - 10:00 PM; Wednesday: 11:00 AM - 10:00 PM; Thursday: 11:00 AM - 10:00 PM; Friday: 11:00 AM - 10:00 PM; Saturday: 11:00 AM - 10:00 PM; Sunday: 11:00 AM - 10:00 PM,0
Dig,,277 Washington St,,,,$$,4.1,https://www.yelp.com/biz/dig-boston-4?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 09:00 PM; Tuesday: 11:00 AM - 09:00 PM; Wednesday: 11:00 AM - 09:00 PM; Thursday: 11:00 AM - 09:00 PM; Friday: 11:00 AM - 09:00 PM; Saturday: 11:00 AM - 09:00 PM; Sunday: 11:00 AM - 09:00 PM,0
Al's State Street Cafe,,114 State St,,,,$,4.3,https://www.yelp.com/biz/als-state-street-cafe-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 10:30 AM - 03:00 PM; Tuesday: 10:30 AM - 03:00 PM; Wednesday: 10:30 AM - 03:00 PM; Thursday: 10:30 AM - 03:00 PM; Friday: 10:30 AM - 03:00 PM; Saturday: 10:30 AM - 04:00 PM,0
Sam LaGrassa's,,44 Province St,,,,$$,4.4,https://www.yelp.com/biz/sam-lagrassas-boston-3?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 02:00 PM; Tuesday: 11:00 AM - 02:00 PM; Wednesday: 11:00 AM - 02:00 PM; Thursday: 11:00 AM - 02:00 PM; Friday: 11:00 AM - 02:00 PM,0
Theo's Cozy Corner,,162 Salem St,,,,$$,4.5,https://www.yelp.com/biz/theos-cozy-corner-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 06:00 AM - 03:00 PM; Tuesday: 06:00 AM - 03:00 PM; Wednesday: 06:00 AM - 03:00 PM; Thursday: 06:00 AM - 03:00 PM; Friday: 06:00 AM - 03:00 PM; Saturday: 06:00 AM - 03:00 PM; Sunday: 06:00 AM - 03:00 PM,0
Lily's Bar Pizza Patio,,33 Batterymarch St,,,,,4.5,https://www.yelp.com/biz/lilys-bar-pizza-patio-boston-3?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:30 AM - 10:00 PM; Tuesday: 11:30 AM - 10:00 PM; Wednesday: 11:30 AM - 10:00 PM; Thursday: 11:30 AM - 11:00 PM; Friday: 11:30 AM - 11:30 PM; Saturday: 05:00 PM - 11:30 PM,0
